t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,linear_x_mps,angular_z_radps
11276.211516672,navigating,0.5341213097387847,0.0016730760993323157,-0.004129437433706862,-2.948820114135742,-0.6242278814315796,-2.3922906589840194,0.2829803228378296,-0.06772048771381378
11276.311635967,navigating,0.5618438219299873,0.0015095832214718219,-0.005491288173227193,-2.969151258468628,-0.6430748701095581,-2.3936525097235397,0.28801336884498596,0.0353800393640995
11276.431552999,navigating,0.5953763279050772,0.0013556162642029412,-0.0014228838820988798,-2.99371337890625,-0.6659036874771118,-2.3895841054324114,0.279202938079834,0.06786821782588959
11276.531604627,navigating,0.6237488983844854,0.0013467110140423788,-0.00010684634805846471,-3.0144128799438477,-0.6853081583976746,-2.388268067898371,0.28780829906463623,0.03683048114180565
11276.632292141,navigating,0.6520738323636311,0.0013281439621059543,-0.0021343874690318287,-3.0350842475891113,-0.7046729922294617,-2.3902956090193443,0.27807366847991943,-8.825233089737594e-05
11276.751116713,navigating,0.6853940963222829,0.0011441130569466718,-0.008163477523915663,-3.059512138366699,-0.7273346781730652,-2.396324699074228,0.275773823261261,-0.06712572276592255
11276.851471375,navigating,0.713538524561333,0.0009641303252826972,-0.0034256954693305808,-3.080162286758423,-0.7464582920074463,-2.391586917019643,0.2815934419631958,0.06729596108198166
11276.951675186,navigating,0.7421407379113145,0.0009435505637910846,0.003381735523850349,-3.1010372638702393,-0.7660113573074341,-2.384779486026462,0.2819514572620392,0.03529515862464905
11277.071555198,navigating,0.7761083762548372,0.0011997966542253713,0.011468885943521023,-3.125636100769043,-0.7894370555877686,-2.3766923356067915,0.28048476576805115,0.1014690026640892
11277.171714528,navigating,0.80418141024152,0.0014880458221750992,0.0067309511821536105,-3.14591383934021,-0.8088533282279968,-2.381430270368159,0.2817670702934265,-0.10193301737308502
11277.292095853,navigating,0.837624809135245,0.0016520465586412625,0.003355015371953929,-3.1701934337615967,-0.8318530917167664,-2.3848062061783586,0.27801328897476196,0.0
11277.411478534,navigating,0.8705835497686479,0.0018113020152406012,0.007419534780832127,-3.194122791290283,-0.8545178174972534,-2.3807416867694804,0.28301554918289185,0.06763584166765213
11277.51151666,navigating,0.8985750672531718,0.002068059130561739,0.01147842258374654,-3.214362621307373,-0.8738553524017334,-2.376682798966566,0.28032761812210083,0.03509180247783661
11277.611539176,navigating,0.9263618183247346,0.00234976809127202,0.008741388155197427,-3.23443603515625,-0.8930709958076477,-2.379419833395115,0.2701038718223572,-0.03372334688901901
11277.711980318,navigating,0.9510611503681818,0.0023959966304616387,-0.010183398334091986,-3.2524187564849854,-0.9100026488304138,-2.3983446198844045,0.23305891454219818,-0.3029676377773285
11277.831604218,turning,0.9750958159255896,0.00175281254275933,-0.050132785507402744,-3.27038836479187,-0.9259767532348633,-2.4382940070577153,0.18062464892864227,-0.27133041620254517
11277.931788935,turning,0.9903535663509582,0.0008111684977404887,-0.06839949869163453,-3.282160758972168,-0.9357284903526306,-2.456560720241947,0.13888630270957947,0.0
11278.051429631,turning,1.0037050187397636,-0.0001808501635747195,-0.06973264612395669,-3.2925772666931152,-0.944139301776886,-2.457893867674269,0.09031685441732407,0.2374260127544403
11278.151682608,turning,1.011254653435352,-0.000605986553301352,-0.029842394772523928,-3.2983744144439697,-0.9489942789077759,-2.4180036163228364,0.06707529723644257,0.4584536552429199
11278.271619914,turning,1.0184554714829341,-0.000566955155903992,0.06212608995601787,-3.3035995960235596,-0.9539491534233093,-2.3260351315942946,0.059155143797397614,0.845154345035553
11278.372751461,turning,1.024611961292063,1.7568790991240313e-05,0.14343263028110798,-3.307689905166626,-0.9585874080657959,-2.2447285912692045,0.06206252798438072,0.8157535195350647
11278.491379809,turning,1.032330666253231,0.0014736576175164995,0.24671734442154447,-3.3123233318328857,-0.9649301171302795,-2.141443877128768,0.0642927810549736,0.845068097114563
11278.591740285,turning,1.0390477044503403,0.003430808332408275,0.3387107720271971,-3.3158833980560303,-0.9709529876708984,-2.0494504495231154,0.07241691648960114,0.9518522024154663
11278.711664719,turning,1.0464900608337655,0.0064263992062344455,0.44556426622810363,-3.3192620277404785,-0.9782294631004333,-1.9425969553222089,0.06428249925374985,0.9125452041625977
11278.811766676,turning,1.0526424293519963,0.009645303824126539,0.5368613104637983,-3.321547031402588,-0.9847862720489502,-1.8512999110865143,0.06980603188276291,0.917534589767456
11278.911819559,turning,1.0585546995642865,0.013466580795972183,0.6294250668233727,-3.32324481010437,-0.9916181564331055,-1.7587361547269398,0.06658826768398285,0.8752400875091553
11279.011976349,turning,1.0643673461547416,0.018056016267955277,0.7268066038318821,-3.3243443965911865,-0.9989421367645264,-1.6613546177184304,0.07680585235357285,1.0095406770706177
11279.131839894,turning,1.0709720589522327,0.02455832169941974,0.8487051728615729,-3.3247129917144775,-1.008203148841858,-1.5394560486887396,0.07737564295530319,1.0170300006866455
11279.232122609,turning,1.0757068104134553,0.03038162954106549,0.9473914353858133,-3.3241822719573975,-1.0156896114349365,-1.4407697861644992,0.07203672081232071,0.9468548893928528
11279.351414565,turning,1.0795701690202635,0.03626638496357504,1.0629805908985468,-3.3229739665985107,-1.0226247310638428,-1.3251806306517657,0.05122225359082222,0.942559540271759
11279.47287727,turning,1.0821243915396233,0.0413301741128973,1.1619777277625358,-3.3213725090026855,-1.0280654430389404,-1.2261834937877767,0.0396495945751667,0.7165791988372803
11279.591258785,turning,1.083330531029341,0.04432500087976077,1.2409171924120457,-3.3202033042907715,-1.03107488155365,-1.1472440291382668,0.005172376520931721,0.5438880920410156
11279.692237607,turning,1.083540276091445,0.04496853508493204,1.2931842123061017,-3.319916009902954,-1.0316877365112305,-1.0949770092442108,-0.008118033409118652,0.17783983051776886
11279.811677097,turning,1.0838296459361687,0.04606008239483961,1.336349422597039,-3.319380283355713,-1.0326818227767944,-1.0518117989532736,0.023123444989323616,0.5065599083900452
11279.91213668,turning,1.0837055567489309,0.04550716619004436,1.3573074225401922,-3.3196680545806885,-1.032193660736084,-1.0308537990101203,-0.012810535728931427,0.1683824360370636
11280.031887687,turning,1.0834347636274593,0.04419600957646708,1.3803271509154398,-3.3203675746917725,-1.0310521125793457,-1.0078340706348727,-0.002561342203989625,0.10099929571151733
11280.13196218,turning,1.0834152435306306,0.044094349902852215,1.3816871178588204,-3.320422887802124,-1.0309646129608154,-1.0064741036914922,0.0,0.0
11280.251272374,turning,1.0834152435306306,0.044094349902852215,1.3816871178588204,-3.320422887802124,-1.0309646129608154,-1.0064741036914922,0.0,0.0
11280.352700861,turning,1.0834152435306306,0.044094349902852215,1.3816871178588204,-3.320422887802124,-1.0309646129608154,-1.0064741036914922,0.0,0.0
11280.471813296,turning,1.0835073642971143,0.04459994293905212,1.405973350201144,-3.3201441764831543,-1.0313963890075684,-0.9821878713491685,0.012802885845303535,0.5721584558486938
11280.591798654,turning,1.0836257852853217,0.04531165272623794,1.4803618587237621,-3.3197436332702637,-1.031996488571167,-0.9077993628265503,-0.02048984356224537,0.3366459012031555
11280.71345693,turning,1.0836460741277107,0.04546048124479252,1.5474490879839746,-3.3196566104888916,-1.0321189165115356,-0.840712133566338,-0.012432299554347992,0.42486822605133057
11280.831700293,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,-0.0025692712515592575,0.03377065062522888
11280.933576073,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.051609308,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.171583683,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.291643502,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.392108009,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.511665997,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.611894802,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.732181507,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.851657141,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11281.971715162,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.072126225,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.191593211,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.2916422,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.392121022,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.511812803,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.611861256,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.732042867,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.833474053,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11282.951461377,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.071406137,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.172319066,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.273095662,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.392586536,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.512945331,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.632573555,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.733993611,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.852991299,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11283.973551036,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.093178352,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.211621801,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.311820417,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.431763435,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.533231027,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.652091845,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.771867324,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.891911636,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11284.991966436,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
11285.11236021,turning,1.0836234443894504,0.04392111731135051,1.5690192504636307,-3.320693254470825,-1.0309807062149048,-0.819141971086682,0.0,0.0
