t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,cmd_linear_x_mps,cmd_angular_z_radps,cmd_age_s,actual_left_mps,actual_right_mps,cmd_left_mps,cmd_right_mps,turn_abs_balance_error_mps,turn_linear_leak_ratio,event_type,event_message
7712.028719174,navigating,0.01800943393965651,-0.22194110086222432,1.6992718926173196,-6.337627197944385,-5.6567474062454215,-0.12110502353083907,-0.17412402079151543,1.430382490158081,1.8145622654583171,-1.8145622654583171,0.009496341999692959,pixhawk_fused,0.8,0.2,gyro,-1.0,0.19814060628414154,0.23676113784313202,0.18745681722046867,0.16851909337958132,0.012643416999708279,0.18012781891703605,0.21615339365124703,0.17463588459615012,0.20027774984478722,0.036025574734210974,10.99999696026952,odom,
7712.13166898,navigating,0.016512382409833576,-0.20371904751716807,1.7015769889458807,-6.319599966788676,-5.65979754202136,-0.11879992720227794,-0.1625883719119136,1.430382490158081,1.8145622654583171,-1.8145622654583171,0.11237961999995605,pixhawk_fused,0.8,0.2,gyro,-1.0,0.18919037282466888,0.0,0.16908943598553566,-0.013801390601598311,0.011047571000744938,0.18919037282466888,0.18919037282466888,0.17013944578250526,0.16803942618856607,,,odom,
7712.23231817,navigating,0.015066623769110471,-0.18719112671543606,1.714227961833163,-6.303227046562291,-5.662478934819138,-0.1061489543149956,-0.165395989951044,1.4145716428756714,1.831073042484732,-1.831073042484732,0.09407201699923462,pixhawk_fused,0.8,0.2,gyro,-1.0,0.16435256600379944,-0.06546241044998169,0.160957305080486,-0.07285300650332828,0.012488172000303166,0.16933294619083405,0.15937218581676482,0.16649996181525922,0.15541464834571278,,,odom,
7712.351443117,navigating,0.01358719472950002,-0.168554776296605,1.7023583772494653,-6.284802707583946,-5.665648477440363,-0.1180185388986934,-0.17699266748354087,1.423755168914795,1.8191353428687764,-1.8191353428687764,0.028945835999365954,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1539410650730133,0.0,0.1453512017894878,-0.08701001021040032,0.033201721999830625,0.1539410650730133,0.1539410650730133,0.15197092336629506,0.13873148021268053,,,odom,
7712.470629647,navigating,0.012527630389079444,-0.15198979276907812,1.6987388768945964,-6.2684892620314585,-5.66871325313603,-0.12163803925356231,-0.1951201121737293,1.423755168914795,1.8191353428687764,-1.8191353428687764,0.14777664699977322,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1445722132921219,-0.13573329150676727,0.13065880262944077,-0.06292716192937865,0.05145583600005921,0.15489880210995674,0.13424562447428703,0.1354463011090279,0.12587130414985365,0.020653177635669706,13.999997079619748,odom,
7712.571271706,navigating,0.011922907513159508,-0.13921335260961085,1.683290249191198,-6.25595932073381,-5.671283016545877,-0.1370866669569606,-0.21330859808655048,1.4382719993591309,1.8043698809470845,-1.8043698809470845,0.07146724499943957,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1342119574546814,-0.13569922745227814,0.11777991605490523,-0.026172607236502176,0.0040182949996960815,0.1445359546792507,0.12388796023011207,0.11977112801345832,0.11578870409635214,0.020647994449138632,12.999999373816205,odom,
7712.671981871,navigating,0.01156140202848445,-0.1279782566828949,1.6684438715076046,-6.244983040917351,-5.6737077532509135,-0.15193304464055402,-0.22487475962844256,1.4549635648727417,1.7887055873449755,-1.7887055873449755,0.04841972500071279,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1073848083615303,-0.16412466764450073,0.10621672340029906,0.011174298372192307,0.004272055999535951,0.11987141307592392,0.09489820364713669,0.10536658278014267,0.10706686402045544,0.024973209428787224,8.60000062609055,odom,
7712.792097949,navigating,0.011317667721714986,-0.11610126642336872,1.653580133466211,-6.233413844351887,-5.676405158460894,-0.16679678268194764,-0.2362272837655698,1.4710640907287598,1.7729661309745026,-1.7729661309745026,0.07031162499970378,pixhawk_fused,0.8,0.2,gyro,-1.0,0.08948660641908646,-0.15894830226898193,0.09644448273289459,0.04242343330609384,0.02481906600041839,0.1015793932557106,0.07739381958246232,0.09321690792696698,0.0996720575388222,0.02418557367324828,7.399998662679461,odom,
7712.892609823,navigating,0.011213150328396855,-0.10751916575891687,1.641158500603339,-6.225071835091579,-5.678423637393464,-0.17921841554481976,-0.24025561335122095,1.4855839014053345,1.7584503630351138,-1.7584503630351138,0.08829525700002705,pixhawk_fused,0.8,0.2,gyro,-1.0,0.0871788039803505,-0.06737644970417023,0.09184372597386216,0.06579712808957543,0.024929527000495,0.09230480427384377,0.08205280368685722,0.08683788046880726,0.09684957147891705,,,odom,
7713.010106404,navigating,0.011126296097775419,-0.09759125347057375,1.6318639459870574,-6.215430075457872,-5.680791644409552,-0.18851297016110125,-0.24226976615954302,1.4962786436080933,1.7473385220978273,-1.7473385220978273,0.0889223320000383,pixhawk_fused,0.8,0.2,gyro,-1.0,0.08772757649421692,-0.0678292065858841,0.08380375326781025,0.0819415800207701,0.042989727000531275,0.09288802253127099,0.08256713045716285,0.07756963785983007,0.09003786867579044,,,odom,
